time, tics, freq
10.2303,4496,0.002
10.2388,4503,0.002
10.2388,4503,0.002
10.243,4509,0.002
10.243,4509,0.002
10.2515,4520,0.002
10.2515,4520,0.002
10.2558,4524,0.002
10.2558,4524,0.002
10.26,4529,0.002
10.2642,4534,0.002
10.2727,4544,0.002
10.2727,4544,0.002
10.2812,4555,0.002
10.2896,4564,0.002
10.2939,4569,0.002
10.2981,4576,0.002
10.2981,4576,0.002
10.3023,4581,0.002
10.3023,4581,0.002
10.3066,4585,0.002
10.31,4588,0.002
10.3278,4612,0.002
10.3278,4612,0.002
10.332,4617,0.002
10.3362,4619,0.002
10.3447,4623,0.002
10.349,4624,0.002
10.349,4624,0.002
10.3532,4626,0.002
10.3659,4633,0.002
10.3659,4633,0.002
10.3702,4635,0.002
10.3744,4636,0.002
10.3829,4639,0.002
10.3871,4641,0.002
10.3914,4644,0.002
10.3956,4644,0.002
10.3956,4644,0.002
10.399,4647,0.002
10.399,4647,0.002
10.4041,4649,0.002
10.4126,4654,0.002
10.4126,4654,0.002
10.4253,4659,0.002
10.4295,4659,0.002
10.4338,4660,0.002
10.4422,4667,0.002
10.4422,4667,0.002
10.4593,4671,0.002
10.463,4673,0.002
10.4678,4673,0.002
10.4848,4681,0.002
10.489,4682,0.002
10.489,4682,0.002
10.4975,4684,0.002
10.5017,4684,0.002
10.5144,4687,0.002
10.518,4687,0.002
10.5229,4689,0.002
10.5229,4689,0.002
10.5314,4692,0.002
10.5399,4697,0.002
10.54,4698,0.002
10.54,4698,0.002
10.54,4700,0.002
10.5441,4701,0.002
10.5526,4707,0.002
10.5611,4709,0.002
10.5653,4710,0.002
10.5653,4710,0.002
10.5696,4712,0.002
10.57,4712,0.002
10.57,4714,0.002
10.5908,4715,0.002
10.5908,4715,0.002
10.595,4717,0.002
10.5993,4719,0.002
10.6035,4721,0.002
10.612,4724,0.0018
10.612,4724,0.0018
10.612,4724,0.0018
10.6236,4724,0.0018
10.6313,4726,0.0018
10.642821,4728,0.0018
10.6466,4729,0.0018
10.6466,4729,0.0018
10.6543,4732,0.0018
10.662,4735,0.0018
10.662,4735,0.0018
10.665,4734,0.0018
10.6811,4738,0.0018
10.6811,4738,0.0018
10.685,4740,0.0018
10.6965,4746,0.0018
10.6965,4746,0.0018
10.708,4752,0.0018
10.708,4752,0.0018
10.7195,4755,0.0018
10.731,4756,0.0018
10.7348,4757,0.0018
10.7387,4758,0.0018
10.74,4758,0.0018
10.74,4758,0.0018
10.74,4760,0.0018
10.74,4761,0.0018
10.75,4763,0.0018
10.75,4763,0.0018
10.75,4766,0.0018
10.7502,4763,0.0018
10.7579,4766,0.0018
10.7656,4771,0.0018
10.7694,4773,0.0018
10.7925,4780,0.0018
10.7925,4780,0.0018
10.7963,4780,0.0018
10.7963,4780,0.0018
10.804,4783,0.0018
10.804,4783,0.0018
10.8155,4786,0.0018
10.8155,4786,0.0018
10.827,4795,0.0018
10.827,4795,0.0018
10.8308,4797,0.0018
10.8347,4798,0.0018
10.8424,4800,0.0018
10.85,4803,0.0018
10.85,4803,0.0018
10.85,4803,0.0018
10.8654,4807,0.0018
10.8769,4811,0.0018
10.8846,4816,0.0018
10.888,4818,0.0018
10.903,4821,0.0018
10.9077,4822,0.0018
10.9115,4823,0.0018
10.9192,4828,0.0018
10.923,4829,0.0018
10.923,4829,0.0018
10.93,4832,0.0018
10.93,4833,0.0018
10.946,4840,0.0018
10.9499,4843,0.0018
10.9499,4843,0.0018
10.9537,4845,0.0018
10.957,4845,0.0018
10.957,4845,0.0018
10.962,4848,0.0018
10.962,4848,0.0018
10.9739,4856,0.0018
10.9778,4857,0.0018
10.9778,4857,0.0018
10.9816,4858,0.0018
10.9893,4862,0.0018
11.0123,4870,0.0018
11.02,4880,0.0018
11.0277,4880,0.0018
11.0354,4883,0.0018
11.0354,4883,0.0018
11.0469,4887,0.0018
11.054,4887,0.0018
11.054,4887,0.0018
11.0622,4889,0.0018
11.0699,4892,0.0018
11.0738,4894,0.0018
11.0891,4896,0.0018
11.096,4899,0.0018
11.096,4899,0.0018
11.1,4900,0.0018
11.1044,4900,0.0018
11.1083,4901,0.0018
11.1083,4901,0.0018
11.1121,4902,0.0018
11.1121,4902,0.0018
11.1159,4902,0.0018
11.1159,4902,0.0018
11.1198,4904,0.0018
11.1236,4903,0.0018
11.142,4907,0.0018
11.1583,4911,0.0018
11.1659,4912,0.0018
11.1774,4917,0.0018
11.1774,4917,0.0018
11.2005,4935,0.0018
11.2043,4935,0.0018
11.2043,4935,0.0018
11.212,4938,0.0018
11.212,4938,0.0018
11.2158,4941,0.0018
11.2196,4941,0.0018
11.2196,4941,0.0018
11.2235,4943,0.0018
11.2235,4943,0.0018
11.2311,4948,0.0018
11.235,4951,0.0018
11.235,4951,0.0018
11.2388,4952,0.0018
11.2503,4954,0.0018
11.2542,4956,0.0018
11.258,4958,0.0018
11.258,4958,0.0018
11.258,4958,0.0018
11.2619,4960,0.0018
11.273,4961,0.0018
11.273,4961,0.0018
11.277,4963,0.0018
11.277,4963,0.0018
11.281,4964,0.0018
11.281,4964,0.0018
11.281,4965,0.0018
11.2849,4966,0.0018
11.29,4968,0.0018
11.2964,4969,0.0018
11.3079,4971,0.0018
11.3117,4972,0.0018
11.315,4974,0.0018
11.3424,4989,0.0018
11.3502,4992,0.0018
11.3578,4992,0.0018
11.36,4992,0.0018
11.36,4992,0.0018
11.3617,4992,0.0018
11.3655,4993,0.0018
